,Community,V27,V28,V29,V30,V31,V32,V33
0,Comm.FOSSASIA,4,4,4,5,1,1,1
1,Comm.FOSSASIA,5,5,5,5,1,1,1
2,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
3,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
4,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
5,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
6,Comm.FOSSASIA,-1,5,5,3,2,1,3
7,Comm.FOSSASIA,5,5,5,5,2,1,2
8,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
9,Comm.ROS,5,5,5,5,1,1,3
10,Comm.ROS,5,4,4,4,1,1,4
11,Comm.FOSSASIA,5,4,4,4,2,1,2
12,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
13,Comm.ROS,5,5,5,5,3,1,2
14,Comm.FOSSASIA,5,5,5,5,1,3,1
15,Comm.ROS,-1,-1,-1,-1,-1,-1,-1
16,-1,3,2,3,3,2,2,1
17,Comm.ROS,-1,-1,-1,-1,-1,-1,-1
18,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
19,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
20,Comm.FOSSASIA,4,4,4,4,2,2,3
21,-1,5,5,5,5,1,1,2
22,Comm.ROS,5,5,5,5,3,1,3
23,Comm.Coala,4,4,4,4,1,1,2
24,Comm.FOSSASIA,5,5,3,4,1,1,2
25,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
26,Comm.ROS,5,5,5,5,2,1,3
27,Comm.FOSSASIA,1,5,5,5,5,1,2
28,Comm.FOSSASIA,3,5,5,5,2,1,3
29,Comm.ROS,5,4,4,5,3,2,4
30,Comm.Mozilla,2,3,2,4,5,2,1
31,Comm.FOSSASIA,5,4,5,5,2,1,2
32,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
33,Comm.Mozilla,5,5,5,5,1,2,4
34,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
35,Comm.ROS,5,4,4,4,2,-1,2
36,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
37,Comm.FOSSASIA,4,4,4,4,2,1,2
38,Comm.ROS,3,4,4,5,1,1,2
39,Comm.ROS,5,5,5,5,2,2,3
40,Comm.ROS,5,4,4,5,3,2,3
41,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
42,Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1
43,Comm.ROS,5,5,5,5,2,1,2
44,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
45,Comm.FOSSASIA,4,4,4,4,1,1,3
46,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
47,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
48,Comm.ROS,2,5,5,5,3,2,4
49,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
50,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
51,-1,-1,-1,-1,-1,-1,-1,-1
52,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
53,Comm.Mozilla,-1,-1,-1,-1,-1,-1,-1
54,-1,-1,-1,-1,-1,-1,-1,-1
55,Comm.FOSSASIA,5,4,3,5,1,1,1
56,Comm.FOSSASIA,4,4,4,4,2,1,3
57,Comm.Coala,5,5,5,5,2,1,1
58,Comm.FOSSASIA,4,4,4,4,1,1,3
59,Comm.Coala,-1,-1,-1,-1,-1,-1,-1
60,Comm.Coala,-1,-1,-1,-1,-1,-1,-1
61,Comm.FOSSASIA,5,5,5,5,2,1,4
62,Comm.Coala,3,5,5,5,2,1,2
63,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
64,Comm.Mozilla,-1,-1,-1,-1,-1,-1,-1
65,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
66,Comm.Coala,-1,-1,-1,-1,-1,-1,-1
67,Comm.OpenGenus,-1,-1,-1,-1,-1,-1,-1
68,Comm.FOSSASIA,5,5,5,5,1,2,1
69,-1,-1,-1,-1,-1,-1,-1,-1
70,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
71,Comm.ROS,5,5,4,4,2,2,4
72,Comm.Coala,4,4,4,5,4,3,2
73,-1,-1,-1,-1,-1,-1,-1,-1
74,-1,4,3,2,3,1,4,3
75,Comm.Coala,-1,-1,-1,-1,-1,-1,-1
76,Comm.OpenGenus,-1,-1,-1,-1,-1,-1,-1
77,Comm.FOSSASIA,4,4,4,4,1,1,2
78,Comm.OpenGenus,4,5,4,5,1,1,1
79,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
80,Comm.OpenGenus,-1,-1,-1,-1,-1,-1,-1
81,Comm.Coala,-1,-1,-1,-1,-1,-1,-1
82,Comm.OpenGenus,-1,-1,-1,-1,-1,-1,-1
83,Comm.Coala,-1,-1,-1,-1,-1,-1,-1
84,-1,4,5,5,5,1,2,2
85,Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1
86,Comm.Coala,4,3,2,5,1,1,1
87,Comm.ReactJS,5,5,5,5,1,1,1
88,Comm.ROS,4,3,4,5,1,1,2
89,Comm.FOSSASIA,5,4,4,4,1,1,3
90,Comm.ReactJS,5,5,5,5,1,1,1
91,Comm.ReactJS,4,4,4,4,1,1,3
92,Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1
93,Comm.ReactJS,5,5,5,5,2,1,2
94,Comm.ReactJS,4,4,2,5,3,3,2
95,Comm.Plone,4,5,4,4,1,2,2
96,Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1
97,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
98,Comm.Plone,5,4,2,5,2,1,2
99,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
100,Comm.Plone,2,2,2,3,4,4,4
101,Comm.Plone,5,5,5,5,1,1,1
102,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
103,Comm.ReactJS,-1,-1,-1,-1,-1,-1,-1
104,Comm.ReactJS,-1,-1,-1,-1,-1,-1,-1
105,Comm.Odoo,4,4,4,4,2,1,2
106,Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1
107,Comm.Odoo,-1,-1,-1,-1,-1,-1,-1
108,Comm.Odoo,5,5,5,5,2,4,3
109,Comm.Plone,-1,-1,-1,-1,-1,-1,-1
110,Comm.Odoo,2,4,4,4,4,5,4
111,Comm.Odoo,4,4,4,4,4,2,3
112,Comm.Odoo,-1,-1,-1,-1,-1,-1,-1
113,Comm.ReactJS,2,5,5,5,1,1,4
114,Comm.Odoo,5,5,5,5,1,1,4
115,Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1
116,Comm.Odoo,4,4,4,4,3,2,2
117,Comm.Odoo,-1,-1,-1,-1,-1,-1,-1
118,Comm.Odoo,2,1,1,3,1,1,4
119,Comm.Odoo,4,5,5,5,2,1,1
120,Comm.Plone,4,4,4,4,2,2,3
121,-1,2,4,4,5,2,4,3
122,Comm.Odoo,4,4,3,4,4,2,2
123,Comm.Plone,5,5,5,5,2,2,4
124,Comm.Plone,4,5,5,5,1,-1,-1
126,Comm.Plone,4,4,4,4,1,1,2
130,-1,5,5,5,5,4,3,1
131,Comm.Plone,5,4,4,5,1,1,2
